region_id,city_id,region_name,city_name,net_forest_emissions_01_to_23
1,1,Blekinge,Karlshamn,-2170270.798418917
1,2,Blekinge,Karlskrona,-4056155.568495996
1,3,Blekinge,Olofström,-1466205.5839554598
1,4,Blekinge,Ronneby,-2604945.287358672
1,5,Blekinge,Sölvesborg,-693988.5846910443
2,1,Dalarna,Älvdalen,-27436198.44390098
2,2,Dalarna,Avesta,-1088325.6759375741
2,3,Dalarna,Borlänge,-1863810.2466155244
2,4,Dalarna,Falun,-5731471.97331435
2,5,Dalarna,Gagnef,-1849016.4195514454
2,6,Dalarna,Hedemora,-685908.5747675046
2,7,Dalarna,Leksand,-3839503.6245715762
2,8,Dalarna,Ludvika,-5336697.824116204
2,9,Dalarna,Malung-Saelen,-19994700.960988205
2,10,Dalarna,Mora,-10549221.091705207
2,11,Dalarna,Orsa,-7989441.166062223
2,12,Dalarna,Rättvik,-4615152.562990387
2,13,Dalarna,Säter,-1243742.2076223274
2,14,Dalarna,Smedjebacken,-2630508.315843037
2,15,Dalarna,Vansbro,-6572249.810664504
3,1,Gävleborg,Bollnäs,-3600800.0132164233
3,2,Gävleborg,Gävle,-5013335.594952759
3,3,Gävleborg,Hofors,-1090400.6686374354
3,4,Gävleborg,Hudiksvall,-9868076.954468898
3,5,Gävleborg,Ljusdal,-7712122.330106405
3,6,Gävleborg,Nordanstig,-6421065.968746403
3,7,Gävleborg,Ockelbo,-1390007.4204730217
3,8,Gävleborg,Ovanåker,-2655120.788640608
3,9,Gävleborg,Sandviken,-2632824.319919969
3,10,Gävleborg,Söderhamn,-1574359.4120555848
4,1,Gotland,Gotland,-11011180.21321527
5,1,Halland,Falkenberg,-3287279.0399453733
5,2,Halland,Halmstad,-3329068.8048576326
5,3,Halland,Hylte,-4393763.917384807
5,4,Halland,Kungsbacka,-2958575.459495313
5,5,Halland,Laholm,-3365731.072463902
5,6,Halland,Varberg,-3420449.7475165026
6,1,Jämtland,Åre,-34336026.80893912
6,2,Jämtland,Berg,-21278012.340208277
6,3,Jämtland,Bräcke,-18813872.05720555
6,4,Jämtland,Härjedalen,-38926355.09660773
6,5,Jämtland,Krokom,-36016805.76510501
6,6,Jämtland,Östersund,-11516708.56996842
6,7,Jämtland,Ragunda,-10047820.19053862
6,8,Jämtland,Strömsund,-56860985.44069293
7,1,Jönköping,Aneby,-2653922.766534866
7,2,Jönköping,Eksjö,-2876226.528379542
7,3,Jönköping,Gislaved,-4562454.063633996
7,4,Jönköping,Gnosjö,-1709365.6949899436
7,5,Jönköping,Jönköping,-6597970.176841305
7,6,Jönköping,Nässjö,-5378878.600717375
7,7,Jönköping,Sävsjö,-2734052.0851186886
7,8,Jönköping,Tranås,-1660815.5527144554
7,9,Jönköping,Vaggeryd,-3268439.574711622
7,10,Jönköping,Värnamo,-4048778.173259845
7,11,Jönköping,Vetlanda,-6013292.9680053415
8,1,Kalmar,Borgholm,-2289853.8665414755
8,2,Kalmar,Emmaboda,-2242808.7959420956
8,3,Kalmar,Högsby,-2805562.9723717165
8,4,Kalmar,Hultsfred,-2722480.2280401876
8,5,Kalmar,Kalmar,-1363643.4412164653
8,6,Kalmar,Mönsterås,-744737.5704699724
8,7,Kalmar,Mörbylånga,-1126505.6334766138
8,8,Kalmar,Nybro,-3910747.422690085
8,9,Kalmar,Oskarshamn,-2992191.1584341587
8,10,Kalmar,Torsås,-376966.68291220866
8,11,Kalmar,Västervik,-7376441.548355102
8,12,Kalmar,Vimmerby,-2272834.0796409426
9,1,Kronoberg,Älmhult,-2683661.712821604
9,2,Kronoberg,Alvesta,-2229046.881843209
9,3,Kronoberg,Lessebo,-1228486.594618671
9,4,Kronoberg,Ljungby,-5123745.376396925
9,5,Kronoberg,Markaryd,-2454059.6018770467
9,6,Kronoberg,Tingsryd,-2306826.783579754
9,7,Kronoberg,Uppvidinge,-3875663.7492673374
9,8,Kronoberg,Växjö,-3609689.7623191215
10,1,Norrbotten,Älvsbyn,-6906181.827248363
10,2,Norrbotten,Arjeplog,-56531002.36498528
10,3,Norrbotten,Arvidsjaur,-34932900.03409063
10,4,Norrbotten,Boden,-23398922.84474889
10,5,Norrbotten,Gällivare,-84746629.34738992
10,6,Norrbotten,Haparanda,-6179359.787038382
10,7,Norrbotten,Jokkmokk,-79699736.76028876
10,8,Norrbotten,Kalix,-9983617.613043172
10,9,Norrbotten,Kiruna,-65091707.675368994
10,10,Norrbotten,Luleå,-11995944.208902847
10,11,Norrbotten,Överkalix,-15067611.020393185
10,12,Norrbotten,Övertorneå,-15382038.64556059
10,13,Norrbotten,Pajala,-47598602.179152705
10,14,Norrbotten,Piteå,-13213487.95082929
11,1,Orebro,Askersund,-1219918.4563886337
11,2,Orebro,Degerfors,-1714948.9811852954
11,3,Orebro,Hällefors,-3675320.9693487617
11,4,Orebro,Hallsberg,-1371720.4479826724
11,5,Orebro,Karlskoga,-2588669.5562934573
11,6,Orebro,Kumla,-478510.81358348497
11,7,Orebro,Laxå,-2421825.404329926
11,8,Orebro,Lekeberg,-1938653.452852333
11,9,Orebro,Lindesberg,-914499.3821631927
11,10,Orebro,Ljusnarsberg,-1385525.6217402555
11,11,Orebro,Nora,-3719527.612746562
11,12,Orebro,Örebro,-3898729.0600953014
12,1,Östergötland,Åtvidaberg,-1492009.6272904035
12,2,Östergötland,Boxholm,-1839914.8569953202
12,3,Östergötland,Finspång,-2113617.025479386
12,4,Östergötland,Kinda,-5427394.905657857
12,5,Östergötland,Linköping,-2958182.642814099
12,6,Östergötland,Mjölby,-789768.0160661153
12,7,Östergötland,Motala,-1274705.7863623311
12,8,Östergötland,Norrköping,-4222125.1058255285
12,9,Östergötland,Ödeshög,-1527187.9234139582
12,10,Östergötland,Söderköping,-3420353.2073361194
12,11,Östergötland,Vadstena,-227685.93530391427
12,12,Östergötland,Valdemarsvik,-3430203.85263059
12,13,Östergötland,Ydre,-2860830.6537276264
13,1,Skåne,Ängelholm,-669963.7093697091
13,2,Skåne,Åstorp,-99365.9270806625
13,3,Skåne,Båstad,-1434020.5709376074
13,4,Skåne,Bjuv,-175610.06736626392
13,5,Skåne,Bromölla,-712854.4550352603
13,6,Skåne,Burlöv,-9173.481723080677
13,7,Skåne,Eslöv,-831796.737750461
13,8,Skåne,Hässleholm,-4465077.1209268
13,9,Skåne,Helsingborg,-446686.34602562094
13,10,Skåne,Höganäs,-251884.6269593967
13,11,Skåne,Höör,-2056463.7274831468
13,12,Skåne,Hörby,-2087237.3077955537
13,13,Skåne,Kävlinge,-200844.3747976662
13,14,Skåne,Klippan,-1319086.1136455117
13,15,Skåne,Kristianstad,-4477055.154221937
13,16,Skåne,Landskrona,-175388.16854512386
13,17,Skåne,Lomma,-45222.71183833458
13,18,Skåne,Lund,-1129926.6966297678
13,19,Skåne,Malmö,-79998.74917291201
13,20,Skåne,Örkelljunga,-727445.3677485025
13,21,Skåne,Osby,-1617594.0294221377
13,22,Skåne,Östra Göinge,-968847.5266436475
13,23,Skåne,Perstorp,-531693.7193706265
13,24,Skåne,Simrishamn,-958908.6793367836
13,25,Skåne,Sjöbo,-1302581.1254880375
13,26,Skåne,Skurup,-153844.75296880308
13,27,Skåne,Staffanstorp,-25580.11229336862
13,28,Skåne,Svalöv,-1763586.1305987667
13,29,Skåne,Svedala,-405626.09316190385
13,30,Skåne,Tomelilla,-1066525.6695160447
13,31,Skåne,Trelleborg,-84030.76947591039
13,32,Skåne,Vellinge,-148703.39464263406
13,33,Skåne,Ystad,-425728.85288514313
14,1,Södermanland,Eskilstuna,-553838.0378093903
14,2,Södermanland,Flen,-549211.6873982344
14,3,Södermanland,Gnesta,-877547.1463495542
14,4,Södermanland,Katrineholm,-95825.5705301767
14,5,Södermanland,Nyköping,-1926318.7912065985
14,6,Södermanland,Oxelösund,-161871.29278215984
14,7,Södermanland,Strängnäs,-1630778.4473936977
14,8,Södermanland,Trosa,-998595.8696338054
14,9,Södermanland,Vingåker,-485570.29633104644
15,1,Stockholm,Botkyrka,-806333.9454314748
15,2,Stockholm,Danderyd,-155842.15728129423
15,3,Stockholm,Ekerö,-1092106.455899379
15,4,Stockholm,Haninge,-3581776.359805391
