region_id,city_id,region_name,city_name,net_forest_emissions_01_to_23,region,city,average_net_emissions
1,1,Blekinge,Karlshamn,-2170270.798418917,Blekinge,Karlshamn,-98648.7
1,2,Blekinge,Karlskrona,-4056155.568495996,Blekinge,Karlskrona,-184370.7
1,3,Blekinge,Olofström,-1466205.5839554598,Blekinge,Olofstroem,-66645.7
1,4,Blekinge,Ronneby,-2604945.287358672,Blekinge,Ronneby,-118406.6
1,5,Blekinge,Sölvesborg,-693988.5846910443,Blekinge,Soelvesborg,-31544.9
2,1,Dalarna,Älvdalen,-27436198.44390098,Dalarna,Aelvdalen,-1247099.9
2,2,Dalarna,Avesta,-1088325.675937574,Dalarna,Avesta,-49469.3
2,3,Dalarna,Borlänge,-1863810.2466155244,Dalarna,Borlaenge,-84718.6
2,4,Dalarna,Falun,-5731471.97331435,Dalarna,Falun,-260521.5
2,5,Dalarna,Gagnef,-1849016.4195514452,Dalarna,Gagnef,-84046.2
2,6,Dalarna,Hedemora,-685908.5747675046,Dalarna,Hedemora,-31177.7
2,7,Dalarna,Leksand,-3839503.624571576,Dalarna,Leksand,-174522.9
2,8,Dalarna,Ludvika,-5336697.824116204,Dalarna,Ludvika,-242577.2
2,9,Dalarna,Malung,-19994700.960988205,Dalarna,Malung,-908850.0
2,10,Dalarna,Mora,-10549221.091705209,Dalarna,Mora,-479510.0
2,11,Dalarna,Orsa,-7989441.166062223,Dalarna,Orsa,-363156.4
2,12,Dalarna,Rättvik,-4615152.562990387,Dalarna,Raettvik,-209779.7
2,13,Dalarna,Säter,-1243742.2076223274,Dalarna,Saeter,-56533.7
2,14,Dalarna,Smedjebacken,-2630508.315843037,Dalarna,Smedjebacken,-119568.6
2,15,Dalarna,Vansbro,-6572249.810664504,Dalarna,Vansbro,-298738.6
3,1,Gävleborg,Bollnäs,-3600800.013216424,Gaevleborg,Bollnaes,-163672.7
3,2,Gävleborg,Gävle,-5013335.594952759,Gaevleborg,Gaevle,-227878.9
3,3,Gävleborg,Hofors,-1090400.6686374354,Gaevleborg,Hofors,-49563.7
3,4,Gävleborg,Hudiksvall,-9868076.954468898,Gaevleborg,Hudiksvall,-448549.0
3,5,Gävleborg,Ljusdal,-7712122.330106405,Gaevleborg,Ljusdal,-350551.0
3,6,Gävleborg,Nordanstig,-6421065.968746403,Gaevleborg,Nordanstig,-291866.6
3,7,Gävleborg,Ockelbo,-1390007.4204730217,Gaevleborg,Ockelbo,-63182.2
3,8,Gävleborg,Ovanåker,-2655120.788640608,Gaevleborg,Ovanaaker,-120687.3
3,9,Gävleborg,Sandviken,-2632824.319919969,Gaevleborg,Sandviken,-119673.8
3,10,Gävleborg,Söderhamn,-1574359.4120555848,Gaevleborg,Soederhamn,-71561.8
4,1,Gotland,Gotland,-11011180.21321527,Gotland,Gotland,-500508.2
5,1,Halland,Falkenberg,-3287279.0399453733,Halland,Falkenberg,-149421.8
5,2,Halland,Halmstad,-3329068.8048576326,Halland,Halmstad,-151321.3
5,3,Halland,Hylte,-4393763.917384807,Halland,Hylte,-199716.5
5,4,Halland,Kungsbacka,-2958575.459495313,Halland,Kungsbacka,-134480.7
5,5,Halland,Laholm,-3365731.072463902,Halland,Laholm,-152987.8
5,6,Halland,Varberg,-3420449.7475165026,Halland,Varberg,-155475.0
6,1,Jämtland,Åre,-34336026.80893912,Jaemtland,Aare,-1560728.5
6,2,Jämtland,Berg,-21278012.34020828,Jaemtland,Berg,-967182.4
6,3,Jämtland,Bräcke,-18813872.05720555,Jaemtland,Braecke,-855176.0
6,4,Jämtland,Härjedalen,-38926355.09660773,Jaemtland,Haerjedalen,-1769379.8
6,5,Jämtland,Krokom,-36016805.76510501,Jaemtland,Krokom,-1637127.5
6,6,Jämtland,Östersund,-11516708.56996842,Jaemtland,Oestersund,-523486.8
6,7,Jämtland,Ragunda,-10047820.19053862,Jaemtland,Ragunda,-456719.1
6,8,Jämtland,Strömsund,-56860985.44069293,Jaemtland,Stroemsund,-2584590.2
7,1,Jönköping,Aneby,-2653922.766534866,Joenkoeping,Aneby,-120632.9
7,2,Jönköping,Eksjö,-2876226.528379542,Joenkoeping,Eksjoe,-130737.6
7,3,Jönköping,Gislaved,-4562454.063633996,Joenkoeping,Gislaved,-207384.3
7,4,Jönköping,Gnosjö,-1709365.6949899436,Joenkoeping,Gnosjoe,-77698.4
7,5,Jönköping,Jönköping,-6597970.176841305,Joenkoeping,Joenkoeping,-299907.7
7,6,Jönköping,Nässjö,-5378878.600717375,Joenkoeping,Naessjoe,-244494.5
7,7,Jönköping,Sävsjö,-2734052.0851186886,Joenkoeping,Saevsjoe,-124275.1
7,8,Jönköping,Tranås,-1660815.5527144554,Joenkoeping,Tranaas,-75491.6
7,9,Jönköping,Vaggeryd,-3268439.574711622,Joenkoeping,Vaggeryd,-148565.4
7,10,Jönköping,Värnamo,-4048778.173259845,Joenkoeping,Vaernamo,-184035.4
7,11,Jönköping,Vetlanda,-6013292.9680053415,Joenkoeping,Vetlanda,-273331.5
8,1,Kalmar,Borgholm,-2289853.8665414755,Kalmar,Borgholm,-104084.3
8,2,Kalmar,Emmaboda,-2242808.795942096,Kalmar,Emmaboda,-101945.9
8,3,Kalmar,Högsby,-2805562.9723717165,Kalmar,Hoegsby,-127525.6
8,4,Kalmar,Hultsfred,-2722480.228040188,Kalmar,Hultsfred,-123749.1
8,5,Kalmar,Kalmar,-1363643.441216465,Kalmar,Kalmar,-61983.8
8,6,Kalmar,Mönsterås,-744737.5704699724,Kalmar,Moensteraas,-33851.7
8,7,Kalmar,Mörbylånga,-1126505.6334766138,Kalmar,Moerbylaanga,-51204.8
8,8,Kalmar,Nybro,-3910747.422690085,Kalmar,Nybro,-177761.2
8,9,Kalmar,Oskarshamn,-2992191.1584341587,Kalmar,Oskarshamn,-136008.7
8,10,Kalmar,Torsås,-376966.6829122087,Kalmar,Torsaas,-17134.8
8,11,Kalmar,Västervik,-7376441.548355102,Kalmar,Vaestervik,-335292.8
8,12,Kalmar,Vimmerby,-2272834.0796409426,Kalmar,Vimmerby,-103310.6
9,1,Kronoberg,Älmhult,-2683661.712821604,Kronoberg,Aelmhult,-121984.6
9,2,Kronoberg,Alvesta,-2229046.881843209,Kronoberg,Alvesta,-101320.3
9,3,Kronoberg,Lessebo,-1228486.594618671,Kronoberg,Lessebo,-55840.3
9,4,Kronoberg,Ljungby,-5123745.376396925,Kronoberg,Ljungby,-232897.5
9,5,Kronoberg,Markaryd,-2454059.6018770467,Kronoberg,Markaryd,-111548.2
9,6,Kronoberg,Tingsryd,-2306826.783579754,Kronoberg,Tingsryd,-104855.8
9,7,Kronoberg,Uppvidinge,-3875663.7492673374,Kronoberg,Uppvidinge,-176166.5
9,8,Kronoberg,Växjö,-3609689.7623191215,Kronoberg,Vaexjoe,-164076.8
10,1,Norrbotten,Älvsbyn,-6906181.827248363,Norrbotten,Aelvsbyn,-313917.4
10,2,Norrbotten,Arjeplog,-56531002.36498528,Norrbotten,Arjeplog,-2569591.0
10,3,Norrbotten,Arvidsjaur,-34932900.03409063,Norrbotten,Arvidsjaur,-1587859.1
10,4,Norrbotten,Boden,-23398922.84474889,Norrbotten,Boden,-1063587.4
10,5,Norrbotten,Gällivare,-84746629.34738992,Norrbotten,Gaellivare,-3852119.5
10,6,Norrbotten,Haparanda,-6179359.787038382,Norrbotten,Haparanda,-280880.0
10,7,Norrbotten,Jokkmokk,-79699736.76028876,Norrbotten,Jokkmokk,-3622715.3
10,8,Norrbotten,Kalix,-9983617.613043172,Norrbotten,Kalix,-453800.8
10,9,Norrbotten,Kiruna,-65091707.675368994,Norrbotten,Kiruna,-2958714.0
10,10,Norrbotten,Luleå,-11995944.208902849,Norrbotten,Luleaa,-545270.2
10,11,Norrbotten,Överkalix,-15067611.020393183,Norrbotten,Oeverkalix,-684891.4
10,12,Norrbotten,Övertorneå,-15382038.64556059,Norrbotten,Oevertorneaa,-699183.6
10,13,Norrbotten,Pajala,-47598602.17915271,Norrbotten,Pajala,-2163572.8
10,14,Norrbotten,Piteå,-13213487.95082929,Norrbotten,Piteaa,-600613.1
11,1,Orebro,Askersund,-1219918.4563886337,Orebro,Askersund,-55450.8
11,2,Orebro,Degerfors,-1714948.9811852954,Orebro,Degerfors,-77952.2
11,3,Orebro,Hällefors,-3675320.9693487617,Orebro,Haellefors,-167060.0
11,4,Orebro,Hallsberg,-1371720.4479826724,Orebro,Hallsberg,-62350.9
11,5,Orebro,Karlskoga,-2588669.5562934573,Orebro,Karlskoga,-117666.8
11,6,Orebro,Kumla,-478510.81358348497,Orebro,Kumla,-21750.5
11,7,Orebro,Laxå,-2421825.404329926,Orebro,Laxaa,-110083.0
11,8,Orebro,Lekeberg,-1938653.452852333,Orebro,Lekeberg,-88120.6
11,9,Orebro,Lindesberg,-914499.3821631928,Orebro,Lindesberg,-41568.2
11,10,Orebro,Ljusnarsberg,-1385525.6217402555,Orebro,Ljusnarsberg,-62978.4
11,11,Orebro,Nora,-3719527.612746562,Orebro,Nora,-169069.4
11,12,Orebro,Örebro,-3898729.060095301,Orebro,Oerebro,-177215.0
12,1,Östergötland,Åtvidaberg,-1492009.6272904037,Oestergoetland,Aatvidaberg,-67818.6
12,2,Östergötland,Boxholm,-1839914.85699532,Oestergoetland,Boxholm,-83632.5
12,3,Östergötland,Finspång,-2113617.025479386,Oestergoetland,Finspaang,-96073.5
12,4,Östergötland,Kinda,-5427394.905657857,Oestergoetland,Kinda,-246699.8
12,5,Östergötland,Linköping,-2958182.642814099,Oestergoetland,Linkoeping,-134462.8
12,6,Östergötland,Mjölby,-789768.0160661153,Oestergoetland,Mjoelby,-35898.5
12,7,Östergötland,Motala,-1274705.7863623311,Oestergoetland,Motala,-57941.2
12,8,Östergötland,Norrköping,-4222125.1058255285,Oestergoetland,Norrkoeping,-191914.8
12,9,Östergötland,Ödeshög,-1527187.9234139582,Oestergoetland,Oedeshoeg,-69417.6
12,10,Östergötland,Söderköping,-3420353.2073361194,Oestergoetland,Soederkoeping,-155470.6
12,11,Östergötland,Vadstena,-227685.93530391427,Oestergoetland,Vadstena,-10349.4
12,12,Östergötland,Valdemarsvik,-3430203.85263059,Oestergoetland,Valdemarsvik,-155918.4
12,13,Östergötland,Ydre,-2860830.6537276264,Oestergoetland,Ydre,-130037.8
13,1,Skåne,Ängelholm,-669963.7093697091,Skaane,Aengelholm,-30452.9
13,2,Skåne,Åstorp,-99365.9270806625,Skaane,Aastorp,-4516.6
13,3,Skåne,Båstad,-1434020.5709376074,Skaane,Baastad,-65182.8
13,4,Skåne,Bjuv,-175610.06736626392,Skaane,Bjuv,-7982.3
13,5,Skåne,Bromölla,-712854.4550352603,Skaane,Bromoella,-32402.5
13,6,Skåne,Burlöv,-9173.481723080677,Skaane,Burloev,-417.0
13,7,Skåne,Eslöv,-831796.737750461,Skaane,Esloev,-37808.9
13,8,Skåne,Hässleholm,-4465077.1209268,Skaane,Haessleholm,-202958.1
13,9,Skåne,Helsingborg,-446686.34602562094,Skaane,Helsingborg,-20303.9
13,10,Skåne,Höganäs,-251884.6269593967,Skaane,Hoeganaes,-11449.3
13,11,Skåne,Höör,-2056463.7274831468,Skaane,Hoeoer,-93475.6
13,12,Skåne,Hörby,-2087237.3077955537,Skaane,Hoerby,-94874.4
13,13,Skåne,Kävlinge,-200844.3747976662,Skaane,Kaevlinge,-9129.3
13,14,Skåne,Klippan,-1319086.1136455117,Skaane,Klippan,-59958.5
13,15,Skåne,Kristianstad,-4477055.154221937,Skaane,Kristianstad,-203502.5
13,16,Skåne,Landskrona,-175388.16854512386,Skaane,Landskrona,-7972.2
13,17,Skåne,Lomma,-45222.71183833458,Skaane,Lomma,-2055.6
13,18,Skåne,Lund,-1129926.6966297678,Skaane,Lund,-51360.3
13,19,Skåne,Malmö,-79998.74917291201,Skaane,Malmoe,-3636.3
13,20,Skåne,Örkelljunga,-727445.3677485025,Skaane,Oerkelljunga,-33065.7
13,21,Skåne,Osby,-1617594.0294221377,Skaane,Osby,-73527.0
13,22,Skåne,Östra Göinge,-968847.5266436476,Skaane,Oestra goeinge,-44038.5
13,23,Skåne,Perstorp,-531693.7193706265,Skaane,Perstorp,-24167.9
