,Region,City,Average Yearly Net Tree Emissions
0,Blekinge,Karlshamn,-94359.59993125727
1,Blekinge,Karlskrona,-176354.58993460852
2,Blekinge,Olofstroem,-63748.06886762869
3,Blekinge,Ronneby,-113258.49075472486
4,Blekinge,Soelvesborg,-30173.416725697578
5,Dalarna,Aelvdalen,-1192878.193213086
6,Dalarna,Avesta,-47318.50764945974
7,Dalarna,Borlaenge,-81035.22811371845
8,Dalarna,Falun,-249194.43362236302
9,Dalarna,Gagnef,-80392.01824136719
10,Dalarna,Hedemora,-29822.111946413243
11,Dalarna,Leksand,-166934.94019876418
12,Dalarna,Ludvika,-232030.3401789654
13,Dalarna,Malung,-869334.8243907915
14,Dalarna,Mora,-458661.78659587866
15,Dalarna,Orsa,-347367.00722009665
16,Dalarna,Raettvik,-200658.80708653855
17,Dalarna,Saeter,-54075.7481574925
18,Dalarna,Smedjebacken,-114369.92677578422
19,Dalarna,Vansbro,-285749.9917680219
20,Gaevleborg,Bollnaes,-156556.52231375757
21,Gaevleborg,Gaevle,-217971.112824033
22,Gaevleborg,Hofors,-47408.72472336676
23,Gaevleborg,Hudiksvall,-429046.8241073434
24,Gaevleborg,Ljusdal,-335309.66652636544
25,Gaevleborg,Nordanstig,-279176.7812498436
26,Gaevleborg,Ockelbo,-60435.10523795746
27,Gaevleborg,Ovanaaker,-115440.03428872209
28,Gaevleborg,Sandviken,-114470.62260521603
29,Gaevleborg,Soederhamn,-68450.40921980803
30,Gotland,Gotland,-478746.9657919682
31,Halland,Falkenberg,-142925.17564979885
32,Halland,Halmstad,-144742.12195033184
33,Halland,Hylte,-191033.21379933943
34,Halland,Kungsbacka,-128633.715630231
35,Halland,Laholm,-146336.13358538706
36,Halland,Varberg,-148715.20641376099
37,Jaemtland,Aare,-1492870.73082344
38,Jaemtland,Berg,-925130.9713134036
39,Jaemtland,Braecke,-817994.4372698065
40,Jaemtland,Haerjedalen,-1692450.2215916405
41,Jaemtland,Krokom,-1565948.0767436961
42,Jaemtland,Oestersund,-500726.4595638443
43,Jaemtland,Ragunda,-436861.74741472263
44,Jaemtland,Stroemsund,-2472216.7582909972
45,Joenkoeping,Aneby,-115387.94637108113
46,Joenkoeping,Eksjoe,-125053.32732084964
